smiles	idnumber
COCCN1C(=O)C(CC(=O)NC2=CC=C([N+](=O)[O-])C=C2OC)SC1=NC1=CC=CC=C1	Z48396361
COCCN1C(=O)C(CC(=O)NC2=CC=C(C)C=C2[N+](=O)[O-])SC1=NC1=CC=CC=C1	Z48396412
COCCN1C(=O)C(CC(=O)NC2=CC=C(OC)C=C2OC)SC1=NC1=CC=CC=C1	Z48396463
COCCN1C(=O)C(CC(=O)NC2=CC([N+](=O)[O-])=CC=C2OC)SC1=NC1=CC=CC=C1	Z48396514
COCCN1C(=O)C(CC(=O)NC2=CC=CC=C2C)SC1=NC1=CC=CC=C1	Z48396565
COCCN1C(=O)C(CC(=O)NC2=CC(C)=C(Cl)C=C2OC)SC1=NC1=CC=CC=C1	Z48396616
COCCN1C(=O)C(CC(=O)NC2=CC=C(F)C=C2F)SC1=NC1=CC=CC=C1	Z48396667
COCCN1C(=O)C(CC(=O)NC2=CC(Cl)=CC(Cl)=C2)SC1=NC1=CC=CC=C1	Z230316480
COCCN1C(=O)C(CC(=O)NC2=CC=C(C)C=C2C)SC1=NC1=CC=CC=C1	Z48396718
COCCN1C(=O)C(CC(=O)NC2=CC(C)=CC=C2C)SC1=NC1=CC=CC=C1	Z48396769
COCCN1C(=O)C(CC(=O)NC2=CC=C(Cl)C(Cl)=C2)SC1=NC1=CC=CC=C1	Z230309970
COCCN1C(=O)C(CC(=O)NC2=CC=C(OC)C(OC)=C2)SC1=NC1=CC=CC=C1	Z48396871
COCCN1C(=O)C(CC(=O)NCC2=CC=CC=C2)SC1=NC1=CC=CC=C1	Z295876690
COCCN1C(=O)C(CC(=O)NC2=CC=CC=C2C(F)(F)F)SC1=NC1=CC=CC=C1	Z48396922
COCCN1C(=O)C(CC(=O)NC2=CC=CC(Cl)=C2Cl)SC1=NC1=CC=CC=C1	Z48396973
COCCN1C(=O)C(CC(=O)NC2=CC=CC(OC)=C2)SC1=NC1=CC=CC=C1	Z48397075
COCCN1C(=O)C(CC(=O)NC2=CC([N+](=O)[O-])=CC=C2Cl)SC1=NC1=CC=CC=C1	Z48397177
COCCN1C(=O)C(CC(=O)NC2=CC=C(Cl)C(C(F)(F)F)=C2)SC1=NC1=CC=CC=C1	Z48397228
COCCN1C(C2=CC=C(NC(C)=O)C=C2)=CSC1=NC1=CC=CC=C1	Z230188272
CCOC1=CC=C(NC(=O)CC2SC(=NC3=CC=CC=C3)N(CCOC)C2=O)C=C1	Z48396055
CCCOC1=CC=CC=C1NC(=O)CC1SC(=NC2=CC=CC=C2)N(CCOC)C1=O	Z48396106
CCCOC1=CC=C(NC(=O)CC2SC(=NC3=CC=CC=C3)N(CCOC)C2=O)C=C1	Z48396157
COCCN1C(=O)C(CC(=O)NC2=CC=C(C(=O)O)C=C2)SC1=NC1=CC=CC=C1	Z295876630
COCCN1C(C2=CC=C(O)C(C(N)=O)=C2)=CSC1=NC1=CC=CC=C1	Z48350045
COCCN1C(C2=C(C)N(C3=NN=C[NH]3)C(C)=C2)=CSC1=NC1=CC=CC=C1	Z230190030
COCCN1C(C2=CC=C(NS(C)(=O)=O)C=C2)=CSC1=NC1=CC=CC=C1	Z230193862
COCCN1C(C2=CC=C3NC(=O)CC3=C2)=CSC1=NC1=CC=CC=C1	Z230190676
COCCN1C(C2=CC=C3[NH]C(=O)OC3=C2)=CSC1=NC1=CC=CC=C1	Z230198174
COCCN1C(=O)C(CC(=O)NC2=CC=C(SC(F)F)C=C2)SC1=NC1=CC=CC=C1	Z114785132
COCCN1C(=O)C(CC(=O)NC2=CC=C(OC(F)(F)F)C=C2)SC1=NC1=CC=CC=C1	Z114785294
COCCN1C(=O)C(CC(=O)NC2CC2)SC1=NC1=CC=CC=C1	Z295876660
